TimeStamp,PositionAfterStep,StepTime,SpeedAfterMove,DistanceAfterStep,StepNumber,AxisName
84.99999999999969947961799572,0.2,0.0282842712474619,14.142135623731,0.2,1,X
120.20815280171265829628708312,0.4,0.0117157287525381,20,0.4,2,X
147.22431864335416881977586326,0.6,0.0089897948556636,24.4948974278318,0.6,3,X
169.99999999999939895923599144,0.8,0.0075787476392602,28.2842712474619,0.8,4,X
190.06577808748149891915734065,1,0.0066770107084438,31.6227766016838,1,5,X
208.20662813656943422965558019,1.2,0.0060364790993875,34.6410161513776,1.2,6,X
224.88886144048932957167711784,1.4,0.0055511154327237,37.4165738677394,1.4,7,X
240.41630560342531659257416623,1.6,0.0051668522645212,40,1.6,8,X
254.99999999999909843885398715,1.8,0.0048528137423857,42.4264068711928,1.8,9,X
268.79360111431133866063889404,2,0.0045899053576059,44.7213595499958,2,10,X
281.91310718020802696210064002,2.2,0.0043655960964770,46.9041575982343,2.2,11,X
294.44863728670803711916972221,2.4,0.0041712745148585,48.9897948556636,2.4,12,X
306.47185841443892872636221804,2.6,0.0040008005605289,50.9901951359278,2.6,13,X
318.04087787578503540368721430,2.8,0.003849662170728,52.9150262212918,2.8,14,X
329.20358442762861345693399898,3,0.003714459058449,54.7722557505166,3,15,X
339.99999999999999999999999998,3.2,0.003592573488815,56.5685424949238,3.2,16,X
350.46397817749989144989884524,3.4,0.003481952907058,58.309518948453,3.4,17,X
360.62445840513797488886124933,3.6,0.003380962103094,60,3.6,18,X
370.50641020095737022356656281,3.8,0.00328828005938,61.6441400296898,3.8,19,X
380.13155617496239679755067270,4,0.003202826347355,63.2455532033676,4,20,X
389.51893407124442192134677474,4.2,0.003123707561422,64.8074069840786,4.2,21,X
398.68533958499013446799358355,4.4,0.003050177646059,66.332495807108,4.4,22,X
407.64567948157864362597804590,4.6,0.002981608048289,67.8232998312527,4.6,23,X
416.41325627313826741854715178,4.8,0.002917464943005,69.2820323027551,4.8,24,X
424.99999999999999999999999997,5,0.00285729163180,70.7106781186548,5,25,X
433.58674372686173258145284817,5.2,0.00285729163180,70.7106781186548,0.2,-25,X
442.35432051842135637402195407,5.4,0.002917464943005,69.2820323027551,0.4,-24,X
451.31466041500986553200641637,5.6,0.002981608048289,67.8232998312527,0.6,-23,X
460.48106592875557807865322517,5.8,0.003050177646059,66.332495807108,0.8,-22,X
469.86844382503760320244932717,6,0.003123707561422,64.8074069840786,1,-21,X
479.49358979904262977643343707,6.2,0.003202826347355,63.2455532033676,1.2,-20,X
489.37554159486202511113875057,6.4,0.00328828005938,61.6441400296898,1.4,-19,X
499.53602182250010855010115467,6.6,0.003380962103094,60,1.6,-18,X
509.99999999999999999999999997,6.8,0.003481952907058,58.309518948453,1.8,-17,X
520.79641557237138654306600097,7,0.003592573488815,56.5685424949238,2,-16,X
531.95912212421496459631278567,7.2,0.003714459058449,54.7722557505166,2.2,-15,X
543.52814158556107127363778197,7.4,0.003849662170728,52.9150262212918,2.4,-14,X
555.55136271329196288083027777,7.6,0.0040008005605289,50.9901951359278,2.6,-13,X
568.08689281979197303789935997,7.8,0.0041712745148585,48.9897948556636,2.8,-12,X
581.20639888568866133936110597,8,0.0043655960964770,46.9041575982343,3,-11,X
595.00000000000090156114601287,8.2,0.0045899053576059,44.7213595499958,3.2,-10,X
609.58369439657468340742583377,8.4,0.0048528137423857,42.4264068711928,3.4,-9,X
625.11113855951067042832288217,8.6,0.0051668522645212,40,3.6,-8,X
641.79337186343056577034441987,8.8,0.0055511154327237,37.4165738677394,3.8,-7,X
659.93422191251850108084265937,9,0.0060364790993875,34.6410161513776,4,-6,X
680.00000000000060104076400857,9.2,0.0066770107084438,31.6227766016838,4.2,-5,X
702.77568135664583118022413677,9.4,0.0075787476392602,28.2842712474619,4.4,-4,X
729.79184719828734170371291687,9.6,0.0089897948556636,24.4948974278318,4.6,-3,X
765.00000000000030052038200427,9.8,0.0117157287525381,20,4.8,-2,X
850.0000000000000000000000000,10,0.0282842712474619,14.142135623731,5,-1,X
28.2842712474619000,0.2,0.0282842712474619,14.142135623731,0.2,1,Y
40.0000000000000000,0.4,0.0117157287525381,20,0.4,2,Y
48.9897948556636000,0.6,0.0089897948556636,24.4948974278318,0.6,3,Y
56.5685424949238000,0.8,0.0075787476392602,28.2842712474619,0.8,4,Y
63.2455532033676000,1,0.0066770107084438,31.6227766016838,1,5,Y
69.2820323027551000,1.2,0.0060364790993875,34.6410161513776,1.2,6,Y
74.8331477354788000,1.4,0.0055511154327237,37.4165738677394,1.4,7,Y
80.0000000000000000,1.6,0.0051668522645212,40,1.6,8,Y
84.8528137423857000,1.8,0.0048528137423857,42.4264068711928,1.8,9,Y
89.4427190999916000,2,0.0045899053576059,44.7213595499958,2,10,Y
93.8083151964686000,2.2,0.0043655960964770,46.9041575982343,2.2,11,Y
97.9795897113271000,2.4,0.0041712745148585,48.9897948556636,2.4,12,Y
101.9803902718560000,2.6,0.0040008005605289,50.9901951359278,2.6,13,Y
105.8300524425840000,2.8,0.003849662170728,52.9150262212918,2.8,14,Y
109.5445115010330000,3,0.003714459058449,54.7722557505166,3,15,Y
113.1370849898480000,3.2,0.003592573488815,56.5685424949238,3.2,16,Y
116.6190378969060000,3.4,0.003481952907058,58.309518948453,3.4,17,Y
120.0000000000000000,3.6,0.003380962103094,60,3.6,18,Y
123.2882800593800000,3.8,0.00328828005938,61.6441400296898,3.8,19,Y
126.4911064067350000,4,0.003202826347355,63.2455532033676,4,20,Y
129.6148139681570000,4.2,0.003123707561422,64.8074069840786,4.2,21,Y
132.6649916142160000,4.4,0.003050177646059,66.332495807108,4.4,22,Y
135.6465996625050000,4.6,0.002981608048289,67.8232998312527,4.6,23,Y
138.5640646055100000,4.8,0.002917464943005,69.2820323027551,4.8,24,Y
141.4213562373100000,5,0.00285729163180,70.7106781186548,5,25,Y
144.2220510185600000,5.2,0.00280069478125,72.1110255092798,5.2,26,Y
146.9693845669910000,5.4,0.002747333548431,73.4846922834954,5.4,27,Y
149.6662954709580000,5.6,0.002696910903967,74.8331477354788,5.6,28,Y
152.3154621172780000,5.8,0.002649166646320,76.1577310586391,5.8,29,Y
154.9193338482970000,6,0.002603871731019,77.4596669241484,6,30,Y
157.4801574802360000,6.2,0.002560823631939,78.7400787401181,6.2,31,Y
160.0000000000000000,6.4,0.002519842519764,80,6.4,32,Y
162.4807680927190000,6.6,0.002480768092719,81.2403840463596,6.6,33,Y
164.9242250247060000,6.8,0.002443456931987,82.4621125123532,6.8,34,Y
167.3320053068150000,7,0.002407780282109,83.6660026534076,7,35,Y
169.7056274847710000,7.2,0.002373622177956,84.8528137423857,7.2,36,Y
172.0465053408530000,7.4,0.002340877856082,86.0232526704263,7.4,37,Y
174.3559577416270000,7.6,0.002309452400774,87.1779788708135,7.6,38,Y
176.6352173265570000,7.8,0.002279259584930,88.3176086632785,7.8,39,Y
178.8854381999830000,8,0.002250220873426,89.4427190999916,8,40,Y
181.1077027627480000,8.2,0.002222264562765,90.5538513813742,8.2,41,Y
183.3030277982340000,8.4,0.002195325035486,91.6515138991168,8.4,42,Y
185.4723699099140000,8.6,0.002169342111680,92.736184954957,8.6,43,Y
187.6166303929370000,8.8,0.002144260483023,93.8083151964686,8.8,44,Y
189.7366596101030000,9,0.002120029217166,94.8683298050514,9,45,Y
